# root=NDX expiry=2026-12-18 asof=2026-09-23 03:44:16 S0=30732.396 r=0.04 q=-0.00027207496743 T=0.235455167693 F=31025.1953296
K,P,C,source
29975,786.55,1826.9008,P
30000,794.25,1809.8352,P
30025,802.1,1792.9195,P
30050,809.95,1776.0039,P
30075,817.9,1759.1882,P
30100,830.95,1747.4726,P
30125,834.1,1725.8569,P
30150,842.3,1709.2913,P
30175,855.7,1697.9256,P
30200,858.9,1676.36,P
30225,867.35,1660.0443,P
30250,875.9,1643.8287,P
30275,884.5,1627.663,P
30300,893.15,1611.5474,P
30325,904.9,1598.5317,P
30350,912.35,1581.2161,P
30375,922.75,1566.8504,P
30400,928.75,1548.0848,P
30425,939.35,1533.9191,P
30450,950.15,1519.9535,P
30475,959.45,1504.4878,P
30500,965.95,1486.2222,P
30525,975.45,1470.9565,P
30550,985,1455.7409,P
30575,994.6,1440.5752,P
30600,1006.85,1428.0596,P
30625,1014.1,1410.5439,P
30650,1024.05,1395.7283,P
30675,1034,1380.9126,P
30700,1043.7,1365.847,P
30725,1054.05,1351.4313,P
30750,1064.35,1336.9657,P
30775,1075.15,1323,P
30800,1085.05,1308.1343,P
30825,1095.6,1293.9187,P
30850,1106.35,1279.903,P
30875,1117.5,1266.2874,P
30900,1127.85,1251.8717,P
30925,1141.2,1240.4561,P
30950,1149.85,1224.3404,P
30975,1161.4,1211.1248,P
31000,1172.05,1197.0091,P
31025,1183.9,1184.0935,P
31050,1198.9722,1174.4,C
31075,1210.4378,1161.1,C
31100,1222.0535,1147.95,C
31125,1233.8691,1135,C
31150,1245.5348,1121.9,C
31175,1257.4504,1109.05,C
31200,1269.3661,1096.2,C
31225,1281.5317,1083.6,C
31250,1293.6974,1071,C
31275,1305.963,1058.5,C
31300,1318.3287,1046.1,C
31325,1330.7943,1033.8,C
31350,1343.36,1021.6,C
31375,1356.0256,1009.5,C
31400,1368.7913,997.5,C
31425,1381.6069,985.55,C
31450,1394.5226,973.7,C
31475,1407.5382,961.95,C
31500,1420.7039,950.35,C
31525,1433.9195,938.8,C
31550,1447.2852,927.4,C
31575,1460.7008,916.05,C
31600,1474.2165,904.8,C
31700,1529.2291,860.75,C
31800,1585.8417,818.3,C
31900,1644.0043,777.4,C
32000,1703.6169,737.95,C
32100,1764.7795,700.05,C
32200,1827.4421,663.65,C
32400,1955.1173,593.2,C
32500,2022.3799,561.4,C
32600,2090.8925,530.85,C
32800,2231.4677,473.3,C
33000,2377.5429,421.25,C
33200,2528.6181,374.2,C
33400,2684.8433,332.3,C
33500,2767.8559,316.25,C
33600,2845.2685,294.6,C
33800,3009.3437,260.55,C
34000,3175.5689,228.65,C
34200,3348.0941,203.05,C
34500,3610.8319,168.6,C
35000,4060.3449,122.8,C
35500,4522.7079,89.85,C
36000,4993.9709,65.8,C
36500,5471.7339,48.25,C
37000,5954.9969,36.2,C
38000,6929.1729,19.75,C
39000,7912.3989,12.35,C
40000,8898.7499,8.075,C
41000,9889.2009,7.9,C
42000,10878.827,6.9,C
43000,11868.653,6.1,C
