# root=SPX expiry=2026-12-18 asof=2026-09-23 03:56:05 S0=7764.6401 r=0.04 q=0.00106390621136 T=0.235455167693 F=7836.15132194
K,P,C,source
7230,64.5,664.96926,P
7235,65.05,660.56613,P
7240,65.55,656.113,P
7245,66.1,651.70987,P
7250,66.6,647.25674,P
7255,67.15,642.85361,P
7260,67.7,638.45048,P
7265,68.25,634.04735,P
7270,68.8,629.64422,P
7275,69.45,625.34109,P
7280,69.95,620.88796,P
7285,70.5,616.48483,P
7290,71.1,612.1317,P
7295,71.7,607.77857,P
7300,72.3,603.42544,P
7305,72.9,599.07231,P
7310,73.5,594.71918,P
7315,74.15,590.41605,P
7320,74.75,586.06292,P
7325,75.45,581.80979,P
7330,76.1,577.50666,P
7335,76.65,573.10353,P
7340,77.35,568.8504,P
7345,78.05,564.59727,P
7350,78.7,560.29414,P
7355,79.35,555.99101,P
7360,80.05,551.73788,P
7365,80.75,547.48475,P
7370,81.45,543.23162,P
7375,82.2,539.02849,P
7380,82.9,534.77536,P
7385,83.6,530.52223,P
7390,84.25,526.2191,P
7395,85.1,522.11597,P
7400,85.75,517.81284,P
7405,86.6,513.70971,P
7410,87.3,509.45658,P
7415,88.1,505.30345,P
7420,88.9,501.15032,P
7425,89.75,497.04719,P
7430,90.5,492.84406,P
7435,91.3,488.69093,P
7440,92.1,484.5378,P
7445,92.9,480.38467,P
7450,93.8,476.33154,P
7455,94.6,472.17841,P
7460,95.5,468.12528,P
7465,96.3,463.97215,P
7470,97.2,459.91902,P
7475,98.15,455.91589,P
7480,99.05,451.86276,P
7485,99.95,447.80963,P
7490,100.8,443.7065,P
7495,101.8,439.75337,P
7500,102.7,435.70024,P
7505,103.7,431.74711,P
7510,104.6,427.69398,P
7515,105.65,423.79085,P
7520,106.65,419.83772,P
7525,107.65,415.88459,P
7530,108.6,411.88146,P
7535,109.65,407.97833,P
7540,110.7,404.0752,P
7545,111.7,400.12207,P
7550,112.8,396.26894,P
7555,113.9,392.41581,P
7560,114.95,388.51268,P
7565,116.05,384.65955,P
7570,117.25,380.90642,P
7575,118.25,376.95329,P
7580,119.45,373.20016,P
7585,120.65,369.44703,P
7590,121.85,365.6939,P
7595,122.95,361.84077,P
7600,124.1,358.03764,P
7605,125.35,354.33451,P
7610,126.55,350.58138,P
7615,127.85,346.92825,P
7620,129.15,343.27512,P
7625,130.45,339.62199,P
7630,131.7,335.91886,P
7635,133.05,332.31573,P
7640,134.35,328.6626,P
7645,135.65,325.00947,P
7650,137,321.40634,P
7655,138.45,317.90321,P
7660,139.8,314.30008,P
7665,141.2,310.74695,P
7670,142.6,307.19382,P
7675,144.05,303.69069,P
7680,145.35,300.03756,P
7685,147,296.73443,P
7690,148.5,293.2813,P
7695,150,289.82817,P
7700,151.45,286.32504,P
7705,153.05,282.97191,P
7710,154.6,279.56878,P
7715,156.2,276.21565,P
7720,157.8,272.86252,P
7725,159.3,269.40939,P
7730,161.05,266.20626,P
7735,162.6,262.80313,P
7740,164.4,259.65,P
7745,166.1,256.39687,P
7750,167.75,253.09374,P
7755,169.55,249.94061,P
7760,171.3,246.73748,P
7765,172.9,243.38435,P
7770,174.7,240.23122,P
7775,176.7,237.27809,P
7780,178.55,234.17496,P
7785,180.45,231.12183,P
7790,182.15,227.8687,P
7795,184.1,224.86557,P
7800,186.05,221.86244,P
7805,188.05,218.90931,P
7810,190.05,215.95618,P
7815,192.05,213.00305,P
7820,194.05,210.04992,P
7825,196.05,207.09679,P
7830,198.15,204.24366,P
7835,200.25,201.39053,P
7840,202.4126,198.6,C
7845,204.56573,195.8,C
7850,206.71886,193,C
7855,208.92199,190.25,C
7860,211.07512,187.45,C
7865,213.42825,184.85,C
7870,215.58138,182.05,C
7875,217.88451,179.4,C
7880,220.18764,176.75,C
7885,222.54077,174.15,C
7890,224.8939,171.55,C
7895,227.04703,168.75,C
7900,229.65016,166.4,C
7905,232.05329,163.85,C
7910,234.50642,161.35,C
7915,237.00955,158.9,C
7920,239.46268,156.4,C
7925,242.01581,154,C
7930,244.56894,151.6,C
7935,247.22207,149.3,C
7940,249.7752,146.9,C
7945,252.37833,144.55,C
7950,255.03146,142.25,C
7955,257.68459,139.95,C
7960,260.33772,137.65,C
7965,263.14085,135.5,C
7970,265.89398,133.3,C
7975,268.54711,131,C
7980,271.40024,128.9,C
7985,274.25337,126.8,C
7990,277.0065,124.6,C
7995,279.90963,122.55,C
8000,282.86276,120.55,C
8010,288.66902,116.45,C
8020,294.62528,112.5,C
8025,297.67841,110.6,C
8030,300.73154,108.7,C
8040,306.8378,104.9,C
8050,313.14406,101.3,C
8060,319.45032,97.7,C
8070,325.90658,94.25,C
8075,329.15971,92.55,C
8080,332.46284,90.9,C
8090,339.2191,87.75,C
8100,345.82536,84.45,C
8110,352.63162,81.35,C
8120,359.53788,78.35,C
8125,363.09101,76.95,C
8130,366.54414,75.45,C
8140,373.6004,72.6,C
8150,380.75666,69.85,C
8160,388.01292,67.2,C
8170,395.41918,64.7,C
8175,399.17231,63.5,C
8180,402.82544,62.2,C
8190,410.2817,59.75,C
8200,417.83796,57.4,C
8210,425.49422,55.15,C
8220,433.20048,52.95,C
8225,437.15361,51.95,C
8230,441.00674,50.85,C
8240,448.913,48.85,C
8250,456.76926,46.8,C
8260,464.87552,45,C
8270,472.93178,43.15,C
8275,476.98491,42.25,C
8280,481.08804,41.4,C
8290,489.2943,39.7,C
8300,497.55056,38.05,C
8310,505.90682,36.5,C
8320,514.26308,34.95,C
8325,518.46621,34.2,C
8330,522.76934,33.55,C
8340,531.2756,32.15,C
8350,539.78186,30.75,C
8360,548.38812,29.45,C
8370,557.09438,28.25,C
